HC11 Pin/Reg,Function (IC/OC/PA),QFP-64 Pin (needs more info) and references,ECU Connector,ECU Pin,Wire Colour i done this by hand by looking at snapon needs verifications with more cross references,Sensor/Actuator,Expected Signal,Test Method/Conditions,Status,Notes,ConfidenceLevel,ResolvableFrom,extravalidationsources,GM_Connector_Label,GM_Function_Name,Enhanced_Mod_Feature,PPK_Calibration,Verification_Sourceneeds more cross references to be more accurate another ,sources, second source, third source?
PA0/IC3,Crank 3X input (TIC3),20,Unknown,?,?,Crank position sensor,~3x pulses/rev square wave,Scope while cranking,⚠️ Needs wiring diagram,ISR at 0x180DB uses TIC3 - CONFIRMED crank input,HIGH,BOTH,"ISR 0x180DB-0x1815B (129 bytes); TIC3 vector 0xFFEA; 94 register ops (14 reads, 75 writes); ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md lines 207,226,231,388,442; HC11 Reference Manual TIC3 section"
PA1/IC2,TDC/Cam reference?,21,Unknown,?,?,Cam sensor OR secondary crank,1x pulse/rev OR 2x pulses/rev,Scope during cranking + compare to PA0,⚠️ Needs scope test,Reads at 0x18156 suggest timing reference,MEDIUM,BOTH,"TIC2 reads at 0x18156 within 3X ISR; TIC2 vector 0xFFEC; compare timing with PA0/TIC3; HC11 Reference Manual TIC2 section"
PA2/IC1,VSS input candidate,22,Unknown,?,?,Vehicle Speed Sensor,4 pulses/rev (transmission output),Drive at 40-80 km/h with scope,⚠️ Needs scope test,Pulse accumulator alternative,LOW,BOTH,"TIC1 vector 0xFFEE; compare with PA7/PAI pulse accumulator; VSS vs OSS frequency differentiation required; HC11 TIC1 section"
PA3/OC5,Fuel injector Bank 1?,23,Unknown,?,?,Injector driver bank,PWM ~3ms pulsewidth at idle,Scope at idle (800 RPM),⚠️ Needs scope test,Speculative injector mapping; verify against board traces,LOW,BOTH,"TOC5 vector 0xFFE8; XDF v1.2/v2.09a injector pulsewidth tables; PCB trace verification needed; HC11 OC5 section"
PA4/OC4,Low speed fan relay,24,C/D Pink 32-pin,Pin 42,Varies (to relay),Fan relay coil (pin 85),Ground trigger when PCM requests fan,Test with ALDL simulator MODE 3,✅ CONFIRMED,MrModule ALDL manual explicitly documents low-speed fan relay control for VY V6 PCM; ground-side driver,HIGH,BOTH,"mrmodule_ALDL_pinout.md; TOC4 vector 0xFFE6; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49-52; HC11 OC4 output compare section"
PA5/OC3,EST/Ignition output,25,Unknown,?,?,Ignition coil driver module,EST waveform ~10-40° advance,Scope under light load (2000 RPM),⚠️ Needs confirmation,TOC3 writes at 0x101A and 0x101B suggest EST drive,MEDIUM,BOTH,"TOC3 writes 0x101A/0x101B; TOC3 vector 0xFFE4; XDF v1.2/v2.09a spark timing tables; HC11 OC3 output compare section"
PA6/OC2,High speed fan relay,26,C/D Pink 32-pin,Pin 33,Varies (to relay),Fan relay coil (pin 85),Ground trigger at high coolant temp,Test with HP Tuners fan activation,✅ CONFIRMED,MrModule ALDL manual: high-speed fan relay driven directly by PCM for VX/VY V6; ground-side driver,HIGH,BOTH,"mrmodule_ALDL_pinout.md; TOC2 vector 0xFFE2; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49-52; HC11 OC2 output compare section"
PA7/PAI,Pulse accumulator input,27,Unknown,?,?,VSS OR OSS sensor,Speed-proportional frequency,Drive at 40-80 km/h OR measure at trans,⚠️ Needs scope test,PACTL write at 0x1C795 confirms pulse accumulator mode configured; event or gated counting; ALDL Engine Data offset 0x27 (km/h); Trans Data offset 0x02,HIGH,BOTH,"port_usage_analyzer.py: PACTL write 0x1C795 (1 access); PACTL reg 0x1026; PAOVI vector 0xFFDA; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 294; HC11 Reference Manual PACTL section; VX_VY_VU Engine and trans TP5 V104.adx Mode 1 Message 0 offset 0x27",X2 C1/C5,SPDSG (Speed Signal),,51319 PPK at 0x7EAB (31879 PPM),Validated by JustCommodores forum + VY V6_$060A v2.63.xdf + ALDL_PACKET_OFFSET_CROSSREFERENCE.md
PD0,SCI RXD (Serial Rx),43,C/D Pink 32-pin,C13,RED/BLA,ALDL Data (receive),8192 baud ALDL packets,Connect scan tool and monitor,✅ CONFIRMED,Snap-on confirmed RED/BLA; MrModule described as Dark Brown; VX_VY_VU ADX confirmed $060A Mode 1: Engine Data (Msg 0 72 bytes 0x00-0x47) + Trans Data (Msg 3 31 bytes 0x00-0x1E),HIGH,BOTH,"SNAPON_PINOUT_COMPLETE.csv; mrmodule_ALDL_pinout.md; SCDR reg 0x102F; SCI vector 0xFFD6; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49; HC11 SCI serial section; VX_VY_VU Engine and trans TP5 V104.adx; ALDL_PACKET_OFFSET_CROSSREFERENCE.md"
PD1,SCI TXD (Serial Tx),44,C/D Pink 32-pin,C13,RED/BLA,ALDL Data (transmit),8192 baud ALDL packets,Connect scan tool and monitor,✅ CONFIRMED,Snap-on confirmed RED/BLA; Shared bidirectional ALDL line with PD0,HIGH,BOTH,"SNAPON_PINOUT_COMPLETE.csv; mrmodule_ALDL_pinout.md; SCDR reg 0x102F; SCI vector 0xFFD6; bidirectional single-wire ALDL bus; HC11 SCI serial section"
PD2,MISO (SPI data in),45,Unknown,?,?,SPI slave device (EEPROM or CAN chip?),Data bit stream from slave,Trace PCB for SPI slave chip,⚠️ SPI enabled but slave unknown,SPCR writes at 0x12DDD/0x12DE2/0x12E08/0x12E0D/0x12E33 (6 total); SPSR reads (9 total); SPDR accesses (13 total); SPI CONFIRMED active,HIGH,BOTH,"port_usage_analyzer.py: SPCR 6 writes (0x12DDD/0x12DE2/0x12E08/0x12E0D/0x12E33); SPSR 9 reads; SPDR 13 accesses; SPCR reg 0x1028; SPSR reg 0x1029; SPDR reg 0x102A; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md lines 271-273; HC11 SPI section"
